1, Test Method "testPackage01.Test_SHAFT_Wizard.gui" failed. Please investigate and open a new Issue if needed.
2, Test Method "testPackage01.Test_SelectedValue.multipleSelect" failed. Please investigate and open a new Issue if needed.
3, Test Method "testPackage01.Test_SelectedValue.simpleSelect" failed. Please investigate and open a new Issue if needed.
4, Test Method "testPackage01.Test_SkipDueToIssue.skip" passed. Please validate and close this open issue "INC1".
5, Test Method "testPackage01.Test_SkipDueToIssue.skip2" passed. Please validate and close this open issue "INC2".
