"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 04 19:44:21 UTC 2022","Mon Apr 04 19:44:26 UTC 2022","4706","Suite","Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","scrollInExpandableLists_horizontalScrolling_insideElement","scrollInExpandableLists_horizontalScrolling_insideElement",""
"failed","Mon Apr 04 19:45:19 UTC 2022","Mon Apr 04 19:45:36 UTC 2022","17818","Suite","Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","scrollInExpandableLists_verticalScrolling_insideScreen","scrollInExpandableLists_verticalScrolling_insideScreen",""
"failed","Mon Apr 04 19:46:43 UTC 2022","Mon Apr 04 19:47:09 UTC 2022","25355","Suite","Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","visualElementIdentification_samedpi","visualElementIdentification_samedpi",""
"failed","Mon Apr 04 19:44:57 UTC 2022","Mon Apr 04 19:45:02 UTC 2022","4936","Suite","Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","scrollInExpandableLists_verticalScrolling_insideElement2","scrollInExpandableLists_verticalScrolling_insideElement2",""
"passed","Mon Apr 04 19:45:59 UTC 2022","Mon Apr 04 19:46:06 UTC 2022","6810","Suite","Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","testOpensAlert","testOpensAlert",""
"passed","Mon Apr 04 19:46:19 UTC 2022","Mon Apr 04 19:46:30 UTC 2022","11439","Suite","Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","testSendKeys","testSendKeys",""
"failed","Mon Apr 04 19:44:42 UTC 2022","Mon Apr 04 19:44:45 UTC 2022","2602","Suite","Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","scrollInExpandableLists_verticalScrolling_insideElement","scrollInExpandableLists_verticalScrolling_insideElement",""
