"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 04 19:42:01 GMT 2022","Mon Apr 04 19:42:01 GMT 2022","12","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_containsComparison_expectedToFail","assertElementAttribute_true_containsComparison_expectedToFail",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","8","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f6_1","f6_1",""
"skipped","Mon Apr 04 20:27:07 GMT 2022","Mon Apr 04 20:27:07 GMT 2022","10","Suite","Test","testPackage01.Test_verifyEquals","testPackage01.Test_verifyEquals","test_assertElementAttribute","test_assertElementAttribute",""
"skipped","Mon Apr 04 19:42:00 GMT 2022","Mon Apr 04 19:42:00 GMT 2022","32","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_caseInsensitiveComparison_expectedToFail","assertElementAttribute_false_caseInsensitiveComparison_expectedToFail",""
"passed","Mon Apr 04 20:42:33 GMT 2022","Mon Apr 04 20:42:33 GMT 2022","12","Suite","Test","testPackage01.Test_JsonActions","testPackage01.Test_JsonActions","f2","f2",""
"skipped","Mon Apr 04 19:42:02 GMT 2022","Mon Apr 04 19:42:02 GMT 2022","9","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_true_expectedToFail","assertFileExists_true_expectedToFail",""
"skipped","Mon Apr 04 19:48:02 GMT 2022","Mon Apr 04 19:48:02 GMT 2022","10","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","fullScreenWindow","fullScreenWindow",""
"skipped","Mon Apr 04 20:06:04 GMT 2022","Mon Apr 04 20:06:04 GMT 2022","11","Suite","Test","testPackage01.TestJSAlertBox","testPackage01.TestJSAlertBox","assertOnConfirmAlertResultText","assertOnConfirmAlertResultText",""
"skipped","Mon Apr 04 19:45:02 GMT 2022","Mon Apr 04 19:45:02 GMT 2022","16","Suite","Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","waitForElementToBePresent_true_expectedToPass","waitForElementToBePresent_true_expectedToPass",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","12","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f9","f9",""
"skipped","Mon Apr 04 20:36:08 GMT 2022","Mon Apr 04 20:36:08 GMT 2022","13","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f17","f17",""
"skipped","Mon Apr 04 20:36:08 GMT 2022","Mon Apr 04 20:36:08 GMT 2022","15","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f15","f15",""
"skipped","Mon Apr 04 19:48:02 GMT 2022","Mon Apr 04 19:48:02 GMT 2022","8","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","getCurrentURL","getCurrentURL",""
"passed","Mon Apr 04 20:06:04 GMT 2022","Mon Apr 04 20:06:05 GMT 2022","600","Suite","Test","testPackage01.Test_sendGraphqlRequest","testPackage01.Test_sendGraphqlRequest","sendGraphqlRequestUsingMutationAndVariables","sendGraphqlRequestUsingMutationAndVariables",""
"skipped","Mon Apr 04 19:48:02 GMT 2022","Mon Apr 04 19:48:02 GMT 2022","9","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","getWindowPosition","getWindowPosition",""
"passed","Mon Apr 04 20:33:08 GMT 2022","Mon Apr 04 20:33:08 GMT 2022","33","Suite","Test","testPackage01.Test_JSONFileManager","testPackage01.Test_JSONFileManager","readStringFromJson","readStringFromJson",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","22","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f36","f36",""
"skipped","Mon Apr 04 19:42:00 GMT 2022","Mon Apr 04 19:42:00 GMT 2022","13","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_containsComparison_expectedToFail","assertElementAttribute_false_containsComparison_expectedToFail",""
"failed","Mon Apr 04 19:48:02 GMT 2022","Mon Apr 04 19:48:02 GMT 2022","0","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","beforeMethod","beforeMethod",""
"skipped","Mon Apr 04 20:36:08 GMT 2022","Mon Apr 04 20:36:08 GMT 2022","24","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f2","f2",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","8","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f5","f5",""
"skipped","Mon Apr 04 19:42:01 GMT 2022","Mon Apr 04 19:42:01 GMT 2022","9","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementExists_true_multipleElementsFound_expectedToFail","assertElementExists_true_multipleElementsFound_expectedToFail",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","9","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f25","f25",""
"failed","Mon Apr 04 20:15:05 GMT 2022","Mon Apr 04 20:18:05 GMT 2022","180033","Suite","Test","testPackage01.Test_SelectedValue","testPackage01.Test_SelectedValue","multipleSelect","multipleSelect",""
"skipped","Mon Apr 04 20:36:09 GMT 2022","Mon Apr 04 20:36:09 GMT 2022","9","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f24","f24",""
