"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 19:43:31 UTC 2022","Mon Apr 04 19:43:31 UTC 2022","509","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","assertOnCancelAlertResultText","assertOnCancelAlertResultText",""
"passed","Mon Apr 04 19:38:42 UTC 2022","Mon Apr 04 19:38:49 UTC 2022","6924","Suite","Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","waitForElementToBePresent_false_expectedToPass","waitForElementToBePresent_false_expectedToPass",""
"skipped","Mon Apr 04 19:44:09 UTC 2022","Mon Apr 04 19:44:09 UTC 2022","1","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f9","f9",""
"passed","Mon Apr 04 19:44:19 UTC 2022","Mon Apr 04 19:44:20 UTC 2022","397","Suite","Test","testPackage01.Test_SHAFT_Wizard","testPackage01.Test_SHAFT_Wizard","api","api",""
"passed","Mon Apr 04 19:39:35 UTC 2022","Mon Apr 04 19:39:35 UTC 2022","4","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_false_equals_expectedToFail","assertComparativeRelation_greaterThanOrEquals_false_equals_expectedToFail",""
"broken","Mon Apr 04 19:42:51 UTC 2022","Mon Apr 04 19:42:54 UTC 2022","2660","Suite","Test","testPackage01.Test_clipboardActions","testPackage01.Test_clipboardActions","typeTextAndCopyPaste","typeTextAndCopyPaste",""
"skipped","Mon Apr 04 19:44:08 UTC 2022","Mon Apr 04 19:44:08 UTC 2022","1","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f30","f30",""
"skipped","Mon Apr 04 19:44:06 UTC 2022","Mon Apr 04 19:44:06 UTC 2022","2","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f16","f16",""
"passed","Mon Apr 04 19:43:28 UTC 2022","Mon Apr 04 19:43:28 UTC 2022","302","Suite","Test","testPackage01.Test_checkJDKShellFilesGenerated","testPackage01.Test_checkJDKShellFilesGenerated","testJDKGeneratedSuccessfully","testJDKGeneratedSuccessfully",""
"skipped","Mon Apr 04 19:44:06 UTC 2022","Mon Apr 04 19:44:06 UTC 2022","1","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f14","f14",""
"passed","Mon Apr 04 19:39:03 UTC 2022","Mon Apr 04 19:39:03 UTC 2022","440","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","fullScreenWindow","fullScreenWindow",""
"passed","Mon Apr 04 19:44:19 UTC 2022","Mon Apr 04 19:44:19 UTC 2022","407","Suite","Test","testPackage01.Test_sendGraphqlRequest","testPackage01.Test_sendGraphqlRequest","sendGraphqlRequestUsingQuery","sendGraphqlRequestUsingQuery",""
"passed","Mon Apr 04 19:44:55 UTC 2022","Mon Apr 04 19:44:55 UTC 2022","223","Suite","Test","testPackage01.Test_JSONFileManager","testPackage01.Test_JSONFileManager","readStringFromJson","readStringFromJson",""
"passed","Mon Apr 04 19:44:12 UTC 2022","Mon Apr 04 19:44:13 UTC 2022","475","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","cssProperty","cssProperty",""
